Cap_do,Cap_up,demand_th,demand_el,pv,wind
0.033,0.023,0.225,0.894,0.0,0.182
0.033,0.21,0.241,0.937,0.0,0.08
0.013,0.136,0.25,0.939,0.0,0.08
0.018,0.065,0.239,0.909,0.0,0.08
0.023,0.192,0.221,0.859,0.0,0.182
0.007,0.247,0.184,0.835,0.0,0.08
0.01,0.021,0.127,0.817,0.0,0.182
0.003,0.019,0.121,0.767,0.0,0.08
0.055,0.033,0.081,0.725,0.0,0.08
0.049,0.002,0.083,0.707,0.0,0.08
0.002,0.043,0.088,0.695,0.0,0.08
0.021,0.01,0.102,0.691,0.0,0.182
0.042,0.015,0.139,0.699,0.0,0.08
0.019,0.027,0.186,0.719,0.0,0.08
0.057,0.029,0.205,0.789,0.0,0.08
0.085,0.031,0.193,0.878,0.0,0.029
0.117,0.106,0.173,0.9,0.014,0.08
0.035,0.16,0.157,0.892,0.062,0.08
0.055,0.008,0.144,0.9,0.05,0.08
0.014,0.191,0.135,0.91,0.035,0.18
0.045,0.157,0.13,0.901,0.041,0.18
0.002,0.27,0.128,0.896,0.023,0.319
0.029,0.041,0.13,0.89,0.018,0.179
0.051,0.06,0.135,0.882,0.012,0.179
0.054,0.029,0.147,0.882,0.0,0.179
0.048,0.317,0.16,0.932,0.0,0.179
0.01,0.294,0.167,0.937,0.0,0.18
0.041,0.297,0.16,0.91,0.0,0.32
0.046,0.204,0.145,0.858,0.0,0.32
0.069,0.319,0.117,0.827,0.0,0.32
0.014,0.027,0.084,0.818,0.0,0.32
0.06,0.017,0.079,0.768,0.0,0.32
0.112,0.029,0.073,0.716,0.0,0.32
0.039,0.019,0.075,0.695,0.0,0.5
0.046,0.043,0.08,0.683,0.0,0.32
0.054,0.035,0.093,0.677,0.0,0.32
0.026,0.041,0.126,0.683,0.0,0.501
0.044,0.002,0.168,0.709,0.0,0.32
0.079,0.003,0.186,0.784,0.0,0.32
0.164,0.01,0.174,0.876,0.0,0.18
0.095,0.116,0.156,0.905,0.016,0.18
0.025,0.261,0.142,0.9,0.082,0.32
0.068,0.038,0.13,0.914,0.21,0.179
0.017,0.297,0.122,0.924,0.206,0.179
0.079,0.097,0.117,0.911,0.107,0.317
0.099,0.344,0.116,0.891,0.035,0.318
0.058,0.238,0.117,0.874,0.018,0.179
0.035,0.064,0.122,0.864,0.012,0.179
0.027,0.03,0.133,0.87,0.0,0.178
0.001,0.266,0.144,0.916,0.0,0.317
0.031,0.101,0.151,0.914,0.0,0.497
0.006,0.193,0.145,0.877,0.0,0.496
0.075,0.1,0.131,0.826,0.0,0.63
0.035,0.32,0.105,0.805,0.0,0.628
0.018,0.037,0.076,0.804,0.0,0.627
0.03,0.035,0.071,0.757,0.0,0.758
0.045,0.012,0.073,0.714,0.0,0.757
0.044,0.02,0.075,0.682,0.0,0.838
0.05,0.013,0.08,0.667,0.0,0.623
0.007,0.007,0.093,0.66,0.0,0.624
0.034,0.022,0.126,0.658,0.0,0.49
0.011,0.035,0.168,0.638,0.0,0.625
0.032,0.027,0.186,0.622,0.0,0.756
0.022,0.042,0.174,0.667,0.0,0.756
0.083,0.162,0.156,0.715,0.016,0.757
0.084,0.093,0.142,0.75,0.039,0.625
0.211,0.177,0.13,0.773,0.044,0.624
0.057,0.127,0.122,0.788,0.032,0.624
0.077,0.273,0.117,0.776,0.036,0.49
0.045,0.197,0.116,0.753,0.016,0.313
0.025,0.003,0.117,0.734,0.012,0.176
